,work_year,experience_level,employment_type,job_title,salary_in_usd,company_location,company_size
0,2023,Entry-Level,Full_time,Applied Scientist,213660,US,Large
1,2023,Entry-Level,Full_time,Applied Scientist,130760,US,Large
2,2023,Entry-Level,Full_time,Data Quality Analyst,100000,NG,Large
3,2023,Entry-Level,Full_time,Compliance Data Analyst,30000,NG,Large
4,2023,Entry-Level,Full_time,Applied Scientist,204620,US,Large
5,2023,Entry-Level,Full_time,Applied Scientist,110680,US,Large
6,2023,Entry-Level,Full_time,Machine Learning Engineer,163196,US,Medium
7,2023,Entry-Level,Full_time,Machine Learning Engineer,145885,US,Medium
8,2023,Entry-Level,Full_time,Research Scientist,220000,US,Large
9,2023,Entry-Level,Full_time,Data Engineer,85000,US,Medium
10,2023,Entry-Level,Full_time,Data Engineer,65000,US,Medium
11,2023,Entry-Level,Full_time,Data Analyst,75000,US,Medium
12,2023,Entry-Level,Full_time,Data Analyst,70000,US,Medium
13,2023,Entry-Level,Full_time,Data Analyst,85000,US,Medium
14,2023,Entry-Level,Full_time,Data Analyst,75000,US,Medium
15,2023,Entry-Level,Full_time,Data Engineer,17022,IN,Large
16,2023,Entry-Level,Full_time,Data Engineer,85000,US,Medium
17,2023,Entry-Level,Full_time,Data Engineer,65000,US,Medium
18,2023,Entry-Level,Full_time,Data Analyst,40663,CA,Large
19,2023,Entry-Level,Full_time,Data Scientist,51753,CA,Large
20,2023,Entry-Level,Full_time,Data Scientist,130001,US,Medium
21,2023,Entry-Level,Full_time,Data Scientist,71907,US,Medium
22,2023,Entry-Level,Full_time,Data Engineer,85000,US,Medium
23,2023,Entry-Level,Full_time,Data Engineer,65000,US,Medium
24,2023,Entry-Level,Full_time,Applied Scientist,213660,US,Large
25,2023,Entry-Level,Full_time,Applied Scientist,130760,US,Large
26,2023,Entry-Level,Full_time,BI Data Engineer,60000,US,Medium
27,2023,Entry-Level,Full_time,Data Engineer,85000,US,Medium
28,2023,Entry-Level,Full_time,Data Engineer,65000,US,Medium
29,2023,Entry-Level,Full_time,Research Engineer,155000,US,Medium
30,2023,Entry-Level,Full_time,Research Engineer,125000,US,Medium
31,2023,Entry-Level,Full_time,Research Engineer,155000,US,Medium
32,2023,Entry-Level,Full_time,Research Engineer,125000,US,Medium
33,2023,Entry-Level,Full_time,Data Analyst,64200,US,Medium
34,2023,Entry-Level,Full_time,Data Analyst,56100,US,Medium
